plot,year,corner,scale,spcode
226,1998,2,0.1,andrgera
226,1998,3,0.01,andrgera
226,1998,4,0.1,andrgera
226,1998,1,1,apoccann
226,1998,4,10,apoccann
226,1998,4,10,arteludo
226,1998,1,1,asclviri
226,1998,4,10,asteeric
226,1998,2,10,baptalba
226,1998,NA,100,baptaust
226,1998,1,10,carebush
226,1998,3,10,carebush
226,1998,4,1,carebush
226,1998,3,10,careceph
226,1998,1,0.1,carefest
226,1998,2,0.1,carefest
226,1998,3,0.1,carefest
226,1998,4,10,carefest
226,1998,2,10,caregrav
226,1998,4,0.01,caremicr
226,1998,1,10,cirsalti
226,1998,4,10,cirsalti
226,1998,1,1,cypeechi
226,1998,4,10,cypelupu
226,1998,3,10,dalecand
226,1998,NA,100,desmsess
226,1998,2,0.01,dichacum
226,1998,3,0.01,dichacum
226,1998,4,10,dichacum
226,1998,1,1,dicholig
226,1998,2,0.1,dicholig
226,1998,3,0.1,dicholig
226,1998,4,1,dicholig
226,1998,1,10,elymvirg
226,1998,2,10,elymvirg
226,1998,3,1,elymvirg
226,1998,4,1,elymvirg
226,1998,2,10,euthgymn
226,1998,3,0.1,euthgymn
226,1998,1,1,fragvirg
226,1998,2,1,fragvirg
226,1998,3,1,fragvirg
226,1998,4,0.01,fragvirg
226,1998,3,10,unkngaur
226,1998,4,10,unkngaur
226,1998,1,10,juncinte
226,1998,3,10,juncinte
226,1998,4,10,juncinte
226,1998,3,10,kummstri
226,1998,1,10,lespproc
226,1998,4,0.1,lespproc
226,1998,4,10,lespviol
226,1998,1,0.1,lespvirg
226,1998,2,1,lespvirg
226,1998,3,1,lespvirg
226,1998,2,10,mimoquad
226,1998,1,1,oxaldill
226,1998,2,1,oxaldill
226,1998,3,10,oxaldill
226,1998,4,0.01,oxaldill
226,1998,1,10,oxalviol
226,1998,1,0.1,panivirg
226,1998,2,0.1,panivirg
226,1998,3,1,panivirg
226,1998,4,0.1,panivirg
226,1998,2,10,physpumi
226,1998,4,1,physpumi
226,1998,3,10,physvirg
226,1998,1,1,poaprate
226,1998,3,0.01,poaprate
226,1998,1,10,psortenu
226,1998,1,1,rubuostr
226,1998,2,1,rubuostr
226,1998,4,10,rubuostr
226,1998,1,1,ruelhumi
226,1998,2,10,ruelhumi
226,1998,3,10,ruelhumi
226,1998,2,10,rumecris
226,1998,1,1,salvazur
226,1998,2,1,salvazur
226,1998,4,10,salvazur
226,1998,1,0.1,schiscop
226,1998,2,0.01,schiscop
226,1998,3,1,schiscop
226,1998,4,0.01,schiscop
226,1998,4,10,scutparv
226,1998,1,0.1,setaparv
226,1998,2,1,setaparv
226,1998,4,10,setaparv
226,1998,3,10,sisycamp
226,1998,1,10,solacaro
226,1998,2,10,solacaro
226,1998,3,10,solacaro
226,1998,1,0.1,solicana
226,1998,2,1,solicana
226,1998,3,1,solicana
226,1998,4,1,solicana
226,1998,1,1,sorgnuta
